SEP	9
67	18
11	12
2	16
155	12
360	10
12	13
108	13
2	8
148	14
171	9
147	10
13	11
127	9
178	12
156	9
55	14
0	11
184	12
26	17
193	18
102	13
36	11
74	9
253	9
241	25
73	8
3	12
113	12
207	11
149	11
150	11
6	12
253	12
154	14
75	13
186	9
7	13
54	11
61	11
3	13
162	18
181	20
121	14
18	11
103	11
6	10
121	10
5	11
79	17
87	16
168	12
101	10
6	10
131	14
98	10
5	12
415	13
76	14
48	14
85	15
180	14
125	15
1	14
102	17
67	11
117	13
36	9
245	14
149	12
0	17
80	10
123	15
188	15
177	14
94	13
50	16
66	8
12	9
65	16
17	13
102	12
134	10
115	14
129	9
161	12
201	11
210	12
219	10
6	13
4	13
58	15
7	15
136	12
77	10
4	13
44	11
147	11
92	12
171	10
341	10
123	9
3	9
368	12
4	14
132	19
134	11
72	13
198	10
71	10
105	15
194	10
47	10
18	12
180	12
459	17
54	20
22	9
23	8
261	16
11	11
195	15
64	15
142	14
21	14
32	11
68	15
23	14
169	10
110	12
2	11
3	10
1	11
31	8
353	10
2	11
9	8
2	12
0	20
69	20
104	20
35	18
138	10
0	20
85	12
0	9
147	9
37	9
203	11
172	10
207	15
102	19
8	14
51	19
109	15
341	15
297	19
116	9
1	14
101	10
144	9
150	9
102	14
124	11
50	22
66	18
19	20
52	17
116	11
256	22
49	11
14	7
1	14
103	15
66	14
143	12
187	13
156	10
195	12
195	17
15	15
154	15
107	12
89	8
62	12
348	7
5	15
258	13
190	17
43	10
198	10
196	7
25	14
73	15
271	9
20	9
6	10
0	14
56	15
21	9
212	9
139	11
186	11
435	11
418	14
15	13
122	14
18	12
84	10
142	11
109	10
167	9
3	12
42	10
81	19
44	9
18	19
88	19
79	15
118	19
29	19
7	18
4	13
5	13
67	14
3	9
2	9
14	11
22	17
175	18
99	12
35	9
0	8
15	20
281	19
200	19
255	19
339	12
47	11
170	15
4	14
331	9
196	11
7	13
12	10
76	11
169	16
11	11
76	16
54	16
48	16
38	17
39	17
34	16
103	10
118	14
88	15
101	19
122	15
191	11
27	7
1	18
242	20
16	18
117	12
11	15
20	22
166	22
130	22
20	16
299	11
4	13
50	12
1	12
152	12
140	12
128	21
29	10
4	22
11	10
12	14
192	14
198	9
160	12
136	12
237	15
14	8
1	11
107	16
91	16
19	11
117	12
190	8
11	16
283	24
58	22
163	20
100	20
71	24
12	14
14	15
102	17
151	11
505	13
491	17
96	9
26	10
93	12
127	22
56	19
146	12
32	10
42	14
131	11
33	11
105	14
110	20
108	10
185	14
119	12
61	9
3	16
170	11
168	12
64	15
200	19
211	11
292	11
57	13
115	11
116	10
21	9
2	9
28	22
70	17
15	17
23	12
364	13
255	19
137	16
42	12
170	20
40	12
176	19
105	9
249	10
69	12
101	10
40	19
179	9
15	15
142	15
43	19
180	22
263	15
3	20
76	22
16	23
